Year Awarded,Name,Affiliation,HPCWire Bio/Interview,Wikipedia Link,Affiliation Link
2020,Amber D. Huffman,Intel,https://www.hpcwire.com/people-to-watch-2020/,,https://en.wikipedia.org/wiki/Intel
2020,Alex Bouzari,DataDirect Networks,https://www.hpcwire.com/people-to-watch-2020/,,https://en.wikipedia.org/wiki/DataDirect_Networks
2020,Werner Vogels,Amazon,https://www.hpcwire.com/people-to-watch-2020/,https://en.wikipedia.org/wiki/Werner_Vogels,https://en.wikipedia.org/wiki/Amazon_(company)
2020,Dario Gil,IBM,https://www.hpcwire.com/people-to-watch-2020/,,https://en.wikipedia.org/wiki/IBM
2020,Christine Cuicchi,Department of Defense,https://www.hpcwire.com/people-to-watch-2020/,,https://en.wikipedia.org/wiki/United_States_Department_of_Defense
2020,Raja Koduri,Intel,https://www.hpcwire.com/people-to-watch-2020/,https://en.wikipedia.org/wiki/Raja_Koduri,https://en.wikipedia.org/wiki/Intel
2021,Jeffrey Vetter,Oak Ridge National Laboratory,https://www.hpcwire.com/people-to-watch-2021/,https://en.wikipedia.org/wiki/Jeffrey_Vetter,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2021,Alan Edelman,Massachusetts Institute of Technology,https://www.hpcwire.com/people-to-watch-2021/,https://en.wikipedia.org/wiki/Alan_Edelman,https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology
2021,James R. Scapa,Altair,https://www.hpcwire.com/people-to-watch-2021/,,https://en.wikipedia.org/wiki/Altair_Engineering
2021,Torsten Hoefler,ETH Zürich,https://www.hpcwire.com/people-to-watch-2021/,https://en.wikipedia.org/wiki/Torsten_Hoefler,https://en.wikipedia.org/wiki/ETH_Zurich
2021,Margaret Martonosi,National Science Foundation,https://www.hpcwire.com/people-to-watch-2021/,https://en.wikipedia.org/wiki/Margaret_Martonosi,https://en.wikipedia.org/wiki/National_Science_Foundation
2021,Susan Gregurick,National Institutes of Health,https://www.hpcwire.com/people-to-watch-2021/,https://en.wikipedia.org/wiki/Susan_K._Gregurick,https://en.wikipedia.org/wiki/National_Institutes_of_Health
2021,Bronis R. de Supinski,Lawrence Livermore National Laboratory,https://www.hpcwire.com/people-to-watch-2021/,,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
